,Year,Country,iso3code,hhi
0,2018,Selected Developing Countries for Switzerland,A01,
1,2018,Caribbean Economic Recovery Act: USA 2007,A02,
2,2018,Caribbean Economic Recovery Act: USA 2009,A03,
3,2018,Preferential tariff for selected african countries,A04,
4,2018,Norway tariff for lower income GSP countries,A05,
5,2018,Preferential tariff for COMESA FTA,A07,
6,2018,Preferential tariff for COMESA Non-FTA,A08,
7,2018,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2018,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2018,Preferential tariff for EU + EFTA,A11,
10,2018,(SAARC) Preferential for Sri Lanka and India,A12,
11,2018,(AANZFTA) Preferential for AUS and NZL,A13,
12,2018,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2018,Egypt (GSTP) Countries ,A15,
14,2018,Egypt (GSTP) Selected LDCs Countries,A16,
15,2018,LDC Beneficiaries in 2014,A17,
16,2018,LDC Beneficiaries in 2014,A18,
17,2018,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2018,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2018,LDC Beneficiaries: Tajikistan 2014,A21,
20,2018,GSP for LDC Beneficiaries: USA 2014,A22,
21,2018,LDC Beneficiaries: China 2014,A23,
22,2018,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2018,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2018,GSP Beneficiaries: Canada 2014,A26,
25,2018,GSP Beneficiaries: Japan 2014,A27,
26,2018,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2018,GSP Beneficiaries: USA 2014,A29,
28,2018,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2018,GSP Beneficiaries: Russia 2014,A31,
30,2018,GSP Beneficiaries: New Zealand 2014,A32,
31,2018,GSP Beneficiaries: Norway 2014,A33,
32,2018,GSP Beneficiaries: EU 2014,A34,
33,2018,COMESA Free Trade Area in 2014,A35,
34,2018,EU 28 members 2013,A36,
35,2018,"EU 28 + GUF,SMR",A37,
36,2018,Pacific Islands Forum,A38,
37,2018,The European Free Trade Association (EFTA),A39,
38,2018,AGOA beneficiaries: USA 2014,A40,
39,2018,Caribbean Basin Economic Recovery Act: USA 2014,A41,
40,2018,Caribbean Basin Trade Partnership Act: USA 2014,A42,
41,2018,Switzerland and Liechtenstein,A43,
42,2018,Costa Rica and Panama,A44,
43,2018,Commonwealth of Independent States (CIS),A45,
44,2018,Bangladesh and  of Laos,A46,
45,2018,Global System of Trade Preferences (GSTP),A47,
46,2018,Global System of Trade Preferences (GSTP) LDCs,A48,
47,2018,Preferential tariff for 4 selected LDCs,A49,
48,2018,Aruba,ABW,0.248468913779505
49,2018,Afghanistan,AFG,0.299010558667335
50,2018,Angola,AGO,0.341086136434412
51,2018,Anguila,AIA,
52,2018,Albania,ALB,0.233653589024996
53,2018,Andorra,AND,0.179214226582704
54,2018,Netherlands Antilles,ANT,
55,2018,United Arab Emirates,ARE,0.0553667038840443
56,2018,Argentina,ARG,0.0531167450967776
57,2018,Armenia,ARM,0.136837564360156
58,2018,Antigua and Barbuda,ATG,0.228220443344549
59,2018,Australia,AUS,0.177337194371911
60,2018,Austria,AUT,0.0985115552434098
61,2018,Azerbaijan,AZE,0.117533559747839
62,2018,Caribbean Basin Trade Partnership Act : 2007,B01,
63,2018,Caribbean Basin Trade Partnership Act: 2009,B02,
64,2018,"China 2 Selected African LDCs (NER,SOM)",B03,
65,2018,China Selected LDCs countries,B04,
66,2018,Burundi,BDI,0.249759838391931
67,2018,Benin,BEN,0.174892403478737
68,2018,Burkina Faso,BFA,0.352101993294108
69,2018,Bangladesh,BGD,
70,2018,Bulgaria,BGR,0.054065184141749
71,2018,Bahrain,BHR,0.0866060211281442
72,2018,"Bahamas, The",BHS,0.157348180555532
73,2018,Bosnia and Herzegovina,BIH,0.0758566241746082
74,2018,Belarus,BLR,0.243575656092722
75,2018,Belize,BLZ,0.25416387464439
76,2018,Bermuda,BMU,0.252451588011529
77,2018,Bolivia,BOL,0.0927961759967577
78,2018,Brazil,BRA,0.112699415164974
79,2018,Barbados,BRB,0.0537955641821852
80,2018,Brunei,BRN,0.164749507681873
81,2018,Bhutan,BTN,
82,2018,Botswana,BWA,0.146709148029747
83,2018,Andean Trade Preference Act 2009,C01,
84,2018,ASEAN-Australia-New Zealand Free Trade Area,C02,
85,2018,"Hong Kong, Korea Rep., Taiwan",C03,
86,2018,Andean Trade Preference Act 2010,C04,
87,2018,Central African Republic,CAF,0.224971969744765
88,2018,Canada,CAN,0.505393112576439
89,2018,Switzerland,CHE,0.0718808685947185
90,2018,Chile,CHL,0.141212230889924
91,2018,China,CHN,0.0598641233194668
92,2018,Cote d'Ivoire,CIV,0.0547019305050069
93,2018,Cameroon,CMR,0.0953786628149626
94,2018,"Congo, Rep.",COG,0.356815518068301
95,2018,Cook Islands,COK,
96,2018,Colombia,COL,0.117297305321831
97,2018,Comoros,COM,0.258707541136226
98,2018,Cape Verde,CPV,0.430793369498232
99,2018,Costa Rica,CRI,0.130939029974679
100,2018,Czechoslovakia,CSK,
101,2018,Cuba,CUB,
102,2018,Cyprus,CYP,0.0418019758525812
103,2018,Czech Republic,CZE,0.11390320213511
104,2018,Djibouti,DJI,
105,2018,Dominica,DMA,
106,2018,Dominican Republic,DOM,0.311588881495075
107,2018,Algeria,DZA,
108,2018,Ecuador,ECU,0.119406458465358
109,2018,"Egypt, Arab Rep.",EGY,0.0334710207872978
110,2018,Eritrea,ERI,
111,2018,Estonia,EST,0.0616705714903853
112,2018,Ethiopia(excludes Eritrea),ETH,0.0686216078262503
113,2018,European Union,EUN,
114,2018,Finland,FIN,0.0481090566424161
115,2018,Fiji,FJI,0.213467047865513
116,2018,Faeroe Islands,FRO,
117,2018,GSP Beneficiaries: Canada 1994,G10,
118,2018,GSP Beneficiaries: Canada 1995,G11,
119,2018,GSP Beneficiaries: Canada 1996,G12,
120,2018,GSP Beneficiaries: Canada 1997,G13,
121,2018,GSP Beneficiaries: Canada 1998,G14,
122,2018,GSP Beneficiaries: Canada 1999,G15,
123,2018,GSP Beneficiaries: Canada 2000,G16,
124,2018,GSP beneficiaries:Canada 2004,G17,
125,2018,GSP Beneficiaries: Canada 2005,G18,
126,2018,GSP Beneficiaries: Canada 2008,G19,
127,2018,GSP Beneficiaries: EU 1994,G20,
128,2018,GSP Beneficiaries: EU 1995,G21,
129,2018,GSP Beneficiaries: EU 1996,G22,
130,2018,GSP Beneficiaries: EU 1997,G23,
131,2018,GSP Beneficiaries: EU 1998,G24,
132,2018,GSP Beneficiaries: EU 1999,G25,
133,2018,GSP Beneficiaries: EU 2000,G26,
134,2018,"GSP Beneficiaries: EU 2004
",G27,
135,2018,GSP Beneficiaries: Japan 1994,G30,
136,2018,GSP Beneficiaries: Japan 1995,G31,
137,2018,GSP Beneficiaries: Japan 1996,G32,
138,2018,GSP Beneficiaries: Japan 1997,G33,
139,2018,GSP Beneficiaries: Japan 1998,G34,
140,2018,GSP Beneficiaries: Japan 1999,G35,
141,2018,GSP Beneficiaries: Japan 2000,G36,
142,2018,GSP Beneficiaries: Japan 2004-2005,G37,
143,2018,GSP Beneficiaries: Japan 2005,G38,
144,2018,GSP Beneficiaries: Japan 2006,G39,
145,2018,GSP Beneficiaries: USA 1994,G40,
146,2018,GSP Beneficiaries: USA 1995,G41,
147,2018,GSP Beneficiaries: USA 1996,G42,
148,2018,GSP Beneficiaries: USA 1997,G43,
149,2018,GSP Beneficiaries: USA 1998,G44,
150,2018,GSP Beneficiaries: USA 1999,G45,
151,2018,GSP Beneficiaries: USA 2000,G46,
152,2018,GSP Beneficiaries: USA 2002,G47,
153,2018,GSP Beneficiaries: USA 2003,G48,
154,2018,GSP Beneficiaries: USA 2004,G49,
155,2018,GSP Beneficiaries: USA 2005,G50,
156,2018,GSP Beneficiaries: Australia 1996,G51,
157,2018,GSP Beneficiaries: Hungary 1996,G52,
158,2018,GSP Beneficiaries: New Zealand 1996,G53,
159,2018,GSP Beneficiaries: Norway 1996,G54,
160,2018,GSP Beneficiaries: Poland 1994,G57,
161,2018,GSP Beneficiaries: Poland 1995,G58,
162,2018,GSP Beneficiaries: Poland 1996,G59,
163,2018,GSP Beneficiaries: Russia 1996,G60,
164,2018,GSP Beneficiaries: Switzerland 1996,G61,
165,2018,GSP Beneficiaries: Switzerland 1997,G62,
166,2018,GSP Beneficiaries: New Zealand 2005,G63,
167,2018,"GSP Beneficiaries: New Zealand 2006
",G64,
168,2018,GSP1: Australia 2006 (Code 'DCS'),G65,
169,2018,GSP Beneficiaries: Japan 2007,G70,
170,2018,GSP Beneficiaries: USA 2006,G80,
171,2018,GSP Beneficiaries: USA 2007,G81,
172,2018,GSP Beneficiaries: USA 2009,G82,
173,2018,GSP Beneficiaries: USA 2010,G83,
174,2018,Gabon,GAB,
175,2018,Gaza Strip,GAZ,
176,2018,United Kingdom,GBR,0.0465561709829841
177,2018,Georgia,GEO,0.0679703267074461
178,2018,Ghana,GHA,0.110621098828823
179,2018,Guinea,GIN,
180,2018,"Gambia, The",GMB,0.207835481491066
181,2018,Guinea-Bissau,GNB,
182,2018,Equatorial Guinea,GNQ,
183,2018,Grenada,GRD,0.162514945640157
