,Year,Country,iso3code,hhi
0,2015,Selected Developing Countries for Switzerland,A01,
1,2015,Caribbean Economic Recovery Act: USA 2007,A02,
2,2015,Caribbean Economic Recovery Act: USA 2009,A03,
3,2015,Preferential tariff for selected african countries,A04,
4,2015,Norway tariff for lower income GSP countries,A05,
5,2015,Preferential tariff for COMESA FTA,A07,
6,2015,Preferential tariff for COMESA Non-FTA,A08,
7,2015,(SAARC) Preferential for Sri Lanka and Pakistan,A09,
8,2015,"CAFTA-DR-USA:CRI, DOM, SLV, GTM, HND, USA",A10,
9,2015,Preferential tariff for EU + EFTA,A11,
10,2015,(SAARC) Preferential for Sri Lanka and India,A12,
11,2015,(AANZFTA) Preferential for AUS and NZL,A13,
12,2015,(COMESA) Preferential for Uganda and Eritrea,A14,
13,2015,Egypt (GSTP) Countries ,A15,
14,2015,Egypt (GSTP) Selected LDCs Countries,A16,
15,2015,LDC Beneficiaries in 2014,A17,
16,2015,LDC Beneficiaries in 2014,A18,
17,2015,Switzerland & Liechtenstein LDC beneficiary 2014,A19,
18,2015,GSP for LDC Beneficiaries: Japan 2014,A20,
19,2015,LDC Beneficiaries: Tajikistan 2014,A21,
20,2015,GSP for LDC Beneficiaries: USA 2014,A22,
21,2015,LDC Beneficiaries: China 2014,A23,
22,2015,GSP for LDC Beneficiaries: Norway 2014,A24,
23,2015,GSP for LDC Beneficiaries: Morocco 2014,A25,
24,2015,GSP Beneficiaries: Canada 2014,A26,
25,2015,GSP Beneficiaries: Japan 2014,A27,
26,2015,GSP Beneficiaries:Liechtenstein & Switzerland 2014,A28,
27,2015,GSP Beneficiaries: USA 2014,A29,
28,2015,GSP Beneficiaries: Belarus & Kazakhstan 2014,A30,
29,2015,GSP Beneficiaries: Russia 2014,A31,
30,2015,GSP Beneficiaries: New Zealand 2014,A32,
31,2015,GSP Beneficiaries: Norway 2014,A33,
32,2015,GSP Beneficiaries: EU 2014,A34,
33,2015,COMESA Free Trade Area in 2014,A35,
34,2015,EU 28 members 2013,A36,
35,2015,"EU 28 + GUF,SMR",A37,
36,2015,Pacific Islands Forum,A38,
